,job,location,date,company
0,UX Designer,"Lyon, Auvergne-Rhône-Alpes, France À distance",Il y a 1 jour,Toptal
1,UX Designer,"Marseille, Provence-Alpes-Côte d’Azur, France À distance",Il y a 1 jour,Toptal
2,Analyste Pricing et Investissement H/F,"Paris, Île-de-France, France Sur site",Il y a 2 semaines,Jobs via eFinancialCareers
3,eCommerce Designer,"Angers, Pays de la Loire, France À distance","Il y a 18 heures

                Au cours des 24 dernières heures",Toptal
4,Gestionnaire Expérience Etudiante,Paris et périphérie Sur site,Il y a 1 semaine,KEDGE Business School
5,eCommerce Designer,"Villeurbanne, Auvergne-Rhône-Alpes, France À distance","Il y a 18 heures

                Au cours des 24 dernières heures",Toptal
6,Chef de projet SI Analyse Financière Prêt H/F,"Paris, Île-de-France, France Sur site",Il y a 3 semaines,Jobs via eFinancialCareers
7,Ingénieur de Support et Production Electronic Trading,"Paris, Île-de-France, France Sur site",Il y a 1 jour,Jobs via eFinancialCareers
8,UX Designer,"Angers, Pays de la Loire, France À distance",Il y a 1 jour,Toptal
9,UX Designer,"Villeurbanne, Auvergne-Rhône-Alpes, France À distance",Il y a 1 jour,Toptal
10,Contrôleur Permanent / Conformité (F/H),"Paris, Île-de-France, France Sur site",Il y a 3 semaines,Jobs via eFinancialCareers
11,Stagiaire Sharepoint,"Paris, Île-de-France, France Sur site",Il y a 3 semaines,Jobs via eFinancialCareers
12,"C++ Developer, GFI Software (Remote) - $100,000/year USD","Paris, Île-de-France, France À distance",Il y a 1 jour,Crossover for Work
13,"Security Automation Engineer ( Bangkok based, relocation provided)","Paris, Île-de-France, France",Il y a 2 semaines,Agoda
14,Cybersecurity Subject Matter Expert (SME),"US, Île-de-France, France Sur site",Il y a 6 jours,Jobs via eFinancialCareers
15,Analyste et Suivi de P&L,"Paris, Île-de-France, France Sur site",Il y a 2 jours,Toptal
16,UX Designer,"Reims, Grand Est, France À distance",Il y a 1 jour,Agoda
17,"DevOps Engineer (Bangkok based, relocation provided)","Paris, Île-de-France, France",Il y a 2 semaines,Toptal
18,eCommerce Designer,"Lyon, Auvergne-Rhône-Alpes, France À distance","Il y a 18 heures

                Au cours des 24 dernières heures",Jobs via eFinancialCareers
19,Analyste Quantitatif - Modélisation du Risques de Crédit - H/F,"Issy-les-Moulineaux, Île-de-France, France À distance",Il y a 2 semaines,Agoda
20,Assistant(e) Comptable,"Sainte-Croix-en-Jarez, Auvergne-Rhône-Alpes, France",Il y a 2 semaines,Jobs via eFinancialCareers
21,"Senior Software Engineer – Real-Time Microservices (Bangkok based, relocation provided)","Paris, Île-de-France, France",Il y a 2 semaines,Agoda
22,Consultant C# Craft en Finance,"Paris, Île-de-France, France Sur site",Il y a 1 mois,
23,Java Developer,"Nice, Provence-Alpes-Côte d’Azur, France Sur site",Il y a 4 jours,
24,Partner Development Team Leader (Hungary-based),"Paris, Île-de-France, France",Il y a 4 jours,
