,job,location,date,company
0,Java / SpringBoot Software Engineer,"El Gouna, Mer Rouge, Égypte",Il y a 2 semaines,TreviPay
1,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
2,Back End Engineer (Search),"Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
3,Wordpress Developer,"Al Mansoura, Dakhleya, Égypte Sur site",Il y a 3 semaines,Geexar
4,Regional Head of Product for Operations – Jumia (Full Time),"Le Caire, Le Caire, Égypte",Il y a 1 mois,Jumia Group
5,"Senior Analyst- Customer Experience Group(Bangkok Based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
6,Sales Engineer,"Le Caire, Égypte Sur site","Il y a 7 heures

                Au cours des 24 dernières heures",Agoda
7,Back End Senior Software Engineer,"Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
8,Back End Senior Software Engineer,"Gizeh, Égypte",Il y a 2 semaines,TreviPay
9,Fullstack Technical Lead,"El Gouna, Mer Rouge, Égypte Sur site",Il y a 2 semaines,Crossover for Work
10,"Corporate Controller, Trilogy (Remote) - $100,000/year USD","Le Caire, Le Caire, Égypte À distance",Il y a 1 jour,Jumia Group
11,Junior Talent Acquisition Specialist - Jumia (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte",Il y a 4 semaines,Agoda
12,"Security Operation Engineer ( Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 1 jour,Envision Employment Solutions
13,Freelance Recruiter,"Le Caire, Le Caire, Égypte",Il y a 2 semaines,Jumia Group
14,Senior Front End Developer - Cairo,"Le Caire, Égypte Hybride",Il y a 1 mois,Crossover for Work
15,"Principal Software Engineer, Trilogy (Remote) - $200,000/year USD","Le Caire, Le Caire, Égypte À distance",Il y a 1 jour,Agoda
16,"Security Operation Engineer ( Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 jours,Zahran Market
17,Software Engineer,"Alexandrie, Égypte Sur site",Il y a 2 semaines,The American University in Cairo
18,Assistant/Associate Professor of Management Information Systems,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,Jumia Group
19,Product Owner - Jumia Shop (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 4 semaines,Agoda
20,Back End Senior Software Engineer,"Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Jumia Group
21,Head of Paid- Jumia (Full Time),"Le Caire, Le Caire, Égypte",Il y a 1 mois,International Labour Organization
22,Operations Assistant / Assistant to Director - G5,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 jours,Agoda
23,"Security Operation Engineer ( Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 jours,Crossover for Work
24,"C# Developer, Trilogy (Remote) - $100,000/year USD","Assiout, Assiout, Égypte À distance",Il y a 1 jour,
