,job,location,date,company
0,Product Owner- Jumia Food Logistics (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 4 semaines,Jumia Group
1,Assistant/Associate or Professors of Economics,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,The American University in Cairo
2,PHP Backend Developer - Jumia (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 4 semaines,Jumia Group
3,Sales Representative,"Alexandrie, Égypte Hybride",Il y a 3 semaines,Aqarmap.com
4,DA Community Manager - Jumia (Full Time),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 semaine,Jumia Group
5,"Director Logistics, DA Management - Jumia (Full Time)","Le Caire, Le Caire, Égypte Sur site",Il y a 1 semaine,Jumia Group
6,DevOps Engineer / Site Reliability Engineer - Jumia Pay (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 3 semaines,Jumia Group
7,"Lead / Staff Full Stack Software Engineer ( Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
8,NodeJS Software Engineer - Jumia Pay (Full-time) - Cairo,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Jumia Group
9,Senior Consultant,"Nouveau Caire, Le Caire, Égypte Sur site",Il y a 1 jour,The Address Investments - Legacy
10,"Senior Software Engineer – Full Stack – ( Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
11,Senior Java Software Engineer,"Le Caire, Égypte Hybride",Il y a 1 mois,Jumia Group
12,Regional Head of Customer Experience - Jumia (Full Time),"Le Caire, Le Caire, Égypte",Il y a 1 mois,Jumia Group
13,"Senior Software Engineer – Full Stack – ( Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
14,Library: STEM Instruction Librarian,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,The American University in Cairo
15,"Senior Software Engineer – Full Stack – ( Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
16,Senior Compensation and Benefits Specialist,"Nouveau Caire, Le Caire, Égypte Sur site",Il y a 1 jour,El Sewedy Industries Group
17,Back End Lead / Staff Software Engineer (Bangkok based – Relocation provided),"Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
18,Senior Back-End Engineer [NodeJS],"Le Caire, Le Caire, Égypte",Il y a 1 semaine,Envision Employment Solutions
19,Back End Lead / Staff Software Engineer (Bangkok based – Relocation provided),"Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
20,Live Ops,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 semaine,Cartona
21,Assistant/Associate Professor of Classical/Premodern Arabic Literature,"Le Caire, Le Caire, Égypte Sur site",Il y a 2 mois,The American University in Cairo
22,NodeJS Software Engineer - Jumia Pay (Full-time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 4 semaines,Jumia Group
23,Senior Data Developer - ETL,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,KnowledgeNet
24,DevOps Engineer,"Le Caire, Le Caire, Égypte Sur site",Il y a 4 semaines,Bosta
