,job,location,date,company
0,Refinery Inspector,"New Heliopolis, Le Caire, Égypte Sur site",Il y a 1 semaine,Honeywell
1,Robotics Instructor,"Le Caire, Égypte Sur site",Il y a 2 semaines,Agoda
2,Senior Forecasting & Planning Analyst (Bangkok-Based),"Le Caire, Le Caire, Égypte",Il y a 1 semaine,Agoda
3,Senior Forecasting & Planning Analyst (Bangkok-Based),"Alexandrie, Alexandrie, Égypte",Il y a 1 semaine,Jumia Group
4,Java Team Lead,"Le Caire, Égypte Hybride",Il y a 1 mois,Jumia Group
5,Golang Developer - Jumia (Full-time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 1 mois,Agoda
6,Senior Forecasting & Planning Analyst (Bangkok-Based),"Gizeh, Gizeh, Égypte",Il y a 1 semaine,Jumia Group
7,Warehouse Manager - Jumia (Full Time),"Le Caire, Le Caire, Égypte",Il y a 2 mois,Jumia Group
8,Senior Product Owner- Jumia Pay (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 1 mois,Agoda
9,"Senior Software Engineer – iOS (Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
10,"Senior Software Engineer – iOS (Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Jumia Group
11,Senior Java Software Engineer - Jumia (Full Time) - Cairo,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Jumia Group
12,Technical Agile Coach - Jumia ( Full Time ) - Cairo,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Agoda
13,"Senior Analyst, Partner Communications(Bangkok based, Relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 1 semaine,PC Power for IT Solutions
14,Software Sales Representative,"Le Caire, Égypte Sur site",Il y a 2 semaines,Jumia Group
15,Android Developer - Jumia (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 4 semaines,The American University in Cairo
16,Research Professor - J-PAL MENA,"Le Caire, Le Caire, Égypte Sur site",Il y a 6 mois,EMPG
17,Technical Recruiter,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 jour,Agoda
18,"Lead/Staff Software Engineer – iOS (Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Georgetown University
19,SFS - Senior Finance Director,"Qesm 3rd Ismailia, Ismaïlia, Égypte Sur site",Il y a 1 mois,Agoda
20,"Senior Analyst, Partner Communications(Bangkok based, Relocation provided)","Gizeh, Gizeh, Égypte",Il y a 1 semaine,Agoda
21,"Senior Software Engineer – iOS (Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Get Hired
22,Network Manager,"Le Caire, Égypte Sur site",Il y a 1 semaine,The American University in Cairo
23,Philosophy Faculty Positions (Open),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Agoda
24,"Lead/Staff Software Engineer – iOS (Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,
