,job,location,date,company
0,Lead Data Scientist - Jumia (Full Time),"Le Caire, Le Caire, Égypte",Il y a 3 mois,Jumia Group
1,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
2,Telesales Agent,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 semaine,CIPPO
3,School Integration Teacher,"Le Caire, Égypte Sur site",Il y a 1 semaine,OLX Egypt
4,Technical Recruiter,"Nouveau Caire, Le Caire, Égypte Hybride",Il y a 1 mois,Agoda
5,Engineering Manager in Back End (Bangkok based),"Le Caire, Le Caire, Égypte",Il y a 1 semaine,Jumia Group
6,Product Owner- Jumia Food Logistics (Full Time) - Cairo,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Agoda
7,Engineering Manager in Back End (Bangkok based),"Gizeh, Gizeh, Égypte",Il y a 1 semaine,Crossover for Work
8,"Software Engineer, Trilogy (Remote) - $30,000/year USD","Le Caire, Le Caire, Égypte À distance",Il y a 1 jour,Agoda
9,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
10,Engineering Manager in Back End (Bangkok based),"Alexandrie, Alexandrie, Égypte",Il y a 1 semaine,Crossover for Work
11,"Financial Controller, Trilogy (Remote) - $100,000/year USD","Le Caire, Le Caire, Égypte À distance",Il y a 1 jour,Agoda
12,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Agoda
13,"Senior Analyst- Customer Experience Group(Bangkok Based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Circle
14,"Venture Senior Associate, SeedInvest","Alexandrie, Alexandrie, Égypte À distance",Il y a 1 semaine,Jumia Group
15,Product Owner- Jumia Pay (Full Time) - Cairo,"Le Caire, Le Caire, Égypte Sur site",Il y a 2 semaines,Agoda
16,Back End Engineer (Search),"Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
17,Back End Engineer (Search),"Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Jumia Group
18,Junior Talent Acquisition Specialist - Jumia (Full Time) - Cairo,"Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,Agoda
19,"Analyst & Senior Analyst- Marketing (Bangkok Based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,The American University in Cairo
20,Assistant/Associate/Professor of Finance,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,Agoda
21,"Senior Analyst- Customer Experience Group(Bangkok Based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Confidential
22,DevOps Engineer,Égypte À distance,Il y a 1 jour,Crossover for Work
23,"Software Architect, Trilogy (Remote) - $200,000/year USD","Le Caire, Le Caire, Égypte À distance",Il y a 1 jour,Jumia Group
24,Sales Operations Support - JumiaPay (Full Time),"Le Caire, Le Caire, Égypte",Il y a 3 jours,
