,job,location,date,company
0,Business Analysis Supervisor|5105 - 5002119HO,"Riyad, Riyad, Arabie saoudite Sur site",Il y a 1 jour,stc
1,Senior Data Mining Analyst|000042 - 5002711HO,"Riyad, Riyad, Arabie saoudite",Il y a 1 jour,stc
2,Low Current Technician - ICT,"Damman, Province de l'Est, Arabie saoudite Sur site","Il y a 7 heures

                Au cours des 24 dernières heures",Agoda
3,"People Data Analyst(Bangkok based, relocation provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 1 semaine,Agoda
4,"People Data Analyst(Bangkok based, relocation provided)","La Mecque, La Mecque, Arabie saoudite",Il y a 1 semaine,IHG Hotels & Resorts
5,Receptionist (Local Talent Preferred),"Al Aziziah, Province de l'Est, Arabie saoudite Sur site",Il y a 1 semaine,Agoda
6,"Analyst, Partner Development(PDe) – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 2 semaines,Agoda
7,"Analyst, Partner Development(PDe) – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","La Mecque, La Mecque, Arabie saoudite",Il y a 2 semaines,Agoda
8,"People Data Analyst(Bangkok based, relocation provided)","Riyad, Riyad, Arabie saoudite",Il y a 1 semaine,Jobs via eFinancialCareers
9,New Analyst Programme,"Riyad, Riyad, Arabie saoudite Sur site",Il y a 2 mois,Agoda
10,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","La Mecque, La Mecque, Arabie saoudite",Il y a 1 semaine,Banque Saudi Fransi
11,Officer Administrative Support,"Riyad, Riyad, Arabie saoudite Sur site",Il y a 2 semaines,Agoda
12,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 1 semaine,NOV
13,Assembler.General.III,"Ras Al Khair, Province de l'Est, Arabie saoudite Sur site",Il y a 1 mois,Agoda
14,Associate Data Analyst- Customer Experience Group | Bangkok-based,"Djeddah, La Mecque, Arabie saoudite",Il y a 2 semaines,Agoda
15,Associate Data Analyst- Customer Experience Group | Bangkok-based,"La Mecque, La Mecque, Arabie saoudite",Il y a 2 semaines,Agoda
16,"Senior Analyst, Partner Development – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Riyad, Riyad, Arabie saoudite",Il y a 1 semaine,Crossover for Work
17,"Financial Analyst, Trilogy (Remote) - $30,000/year USD","Médine, Médine, Arabie saoudite À distance",Il y a 1 jour,Agoda
18,"Analyst, Partner Development(PDe) – SQL, R, Python, Pandas, Scala (Bangkok-based, relocation provided)","Riyad, Riyad, Arabie saoudite",Il y a 2 semaines,Agoda
19,Associate Data Analyst- Customer Experience Group | Bangkok-based,"Riyad, Riyad, Arabie saoudite",Il y a 2 semaines,Agoda
20,"Senior Data Analyst (Bangkok Based, relocation provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 1 semaine,Agoda
21,"Senior Data Analyst (Bangkok Based, relocation provided)","La Mecque, La Mecque, Arabie saoudite",Il y a 1 semaine,stc
22,Senior ICT Applications Designer|044440 - 5002684HO,"Riyad, Riyad, Arabie saoudite Sur site",Il y a 1 semaine,Agoda
23,"People BI Specialist (Bangkok Based, Relocation Provided)","Djeddah, La Mecque, Arabie saoudite",Il y a 1 semaine,Sabbar | صبّار
24,Talent Acquisition Officer,"Riyad, Arabie saoudite Sur site",Il y a 5 jours,
