,job,location,date,company
0,"Associate Prof of Practice, Center for Learning and Teaching","Le Caire, Le Caire, Égypte Sur site",Il y a 2 mois,The American University in Cairo
1,ARTS: Associate Professor/Professor of Practice in Film making,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 semaine,The American University in Cairo
2,Performance Management Specialist,"Le Caire, Égypte Sur site",Il y a 3 semaines,Jumia Group
3,Regional Delivery Experience Manager - Jumia (Full Time),"Le Caire, Le Caire, Égypte",Il y a 1 mois,Canonical
4,Director of Communications,"Le Caire, Le Caire, Égypte À distance",Il y a 1 semaine,Trans Business For Trading & Distribution
5,Senior Talent Acquisition Specialist,"Gizeh, Gizeh, Égypte Sur site",Il y a 1 jour,Agoda
6,"Senior Software Engineer – Android (Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,The American University in Cairo
7,Adjunct Faculty - Mathematics and Actuarial Science,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,The American University in Cairo
8,Professor of Practice in Management,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,ELSEWEDY ELECTRIC
9,Production Manager – Steel Fabrication.,"Suez, Suez, Égypte Sur site",Il y a 2 jours,The American University in Cairo
10,Associate Professor/Professor of Studio Practices in Visual Arts,"Le Caire, Le Caire, Égypte Sur site",Il y a 4 semaines,The American University in Cairo
11,Adjunct Faculty - Television Journalism,"Le Caire, Le Caire, Égypte Sur site",Il y a 5 mois,Eli Lilly and Company
12,North Africa Alliance Regulatory Associate,"Le Caire, Le Caire, Égypte",Il y a 2 semaines,500 Global
13,Portfolio Manager,"Le Caire, Le Caire, Égypte",Il y a 1 semaine,The American University in Cairo
14,Adjunct Faculty - Public Policy and Administration (MPP),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,The American University in Cairo
15,Consultancy in the execution of the project Enabling implementation of the Regional Strategic Action,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 semaine,Jumia Group
16,MACT: Statistics faculty Positions,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,Jumia Group
17,Java Team Lead - Jumia (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 3 semaines,The American University in Cairo
18,Category Marketing Manager - JumiaPay (Full Time),"Le Caire, Le Caire, Égypte",Il y a 3 jours,Antal International
19,Adjunct Faculty - PHIL Philosophical Thinking,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Extreme Medical L.L.C.
20,Human Resources Business Partner,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,The American University in Cairo
21,Sales Marketing Executive,"Le Caire, Le Caire, Égypte Sur site",Il y a 1 semaine,CORTEX International
22,Adjunct Faculty - Psychology,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,Agoda
23,Business Development Manager,"Le Caire, Égypte Sur site",Il y a 5 jours,
24,"Senior Ops Specialist/Associate Manager, Partner Communications: (Bangkok Based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 1 semaine,
